Cruise,Station,mon/dd/yyyy,hh:mm,Longitude [degrees east],Latitude [degrees north],Bottom Depth [m],Pressure [db],Temperature [degrees C],Temperature 2 [degrees C],Salinity [psu],Salinity 2 [psu],Fluorescense [mg/m^3],Beam Transmission [%],PAR,Oxygen [umol/kg],Oxygen [% saturation]
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,127.841,14.4609,14.4601,34.6671,34.675,8.15E-02,98.4606,1.67E-01,29.833,11.885
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,128.848,14.365,14.3632,34.658,34.667,8.22E-02,98.4774,1.58E-01,29.196,11.608
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,129.855,14.3223,14.3218,34.6744,34.6826,8.13E-02,98.5056,1.48E-01,29.213,11.606
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,130.862,14.2701,14.2687,34.6918,34.7,7.44E-02,98.5055,1.40E-01,30.011,11.912
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,131.869,14.2682,14.2676,34.7278,34.7358,7.34E-02,98.5092,1.32E-01,30.297,12.029
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,132.876,14.2512,14.2514,34.7272,34.7354,7.41E-02,98.4583,1.24E-01,30.129,11.958
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,133.883,14.2464,14.2466,34.7287,34.7368,8.16E-02,98.3878,1.17E-01,30.077,11.936
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,134.89,14.2424,14.242,34.7308,34.7389,7.17E-02,98.5233,1.11E-01,30.11,11.948
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,135.897,14.2447,14.2449,34.737,34.7451,7.43E-02,98.5136,1.05E-01,30.134,11.959
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,136.904,14.2335,14.2329,34.7394,34.7478,7.40E-02,98.5059,9.92E-02,30.129,11.955
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,137.911,14.2287,14.2287,34.7414,34.7496,7.50E-02,98.5122,9.43E-02,30.14,11.958
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,138.918,14.2256,14.2257,34.7456,34.7538,7.44E-02,98.5109,8.93E-02,30.134,11.955
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,139.925,14.2099,14.2095,34.748,34.7564,7.16E-02,98.4987,8.43E-02,29.888,11.854
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,140.932,14.1784,14.1785,34.7441,34.7524,7.28E-02,98.4754,7.99E-02,29.472,11.681
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,141.939,14.1638,14.1632,34.741,34.7495,7.32E-02,98.5142,7.53E-02,29.194,11.567
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,142.946,14.1317,14.1305,34.7343,34.743,7.31E-02,98.5215,7.08E-02,28.666,11.351
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,143.953,14.1105,14.1097,34.7311,34.7391,7.24E-02,98.4886,6.70E-02,28.108,11.125
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,144.96,14.0817,14.0807,34.7267,34.7349,7.17E-02,98.5113,6.35E-02,27.742,10.973
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,145.967,14.0526,14.052,34.7254,34.7335,7.11E-02,98.515,6.02E-02,27.579,10.902
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,146.974,13.9952,13.995,34.7236,34.7324,7.15E-02,98.4482,5.67E-02,28.368,11.201
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,147.981,14.0471,14.0496,34.778,34.7875,7.18E-02,98.5041,5.35E-02,28.918,11.434
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,148.988,13.9804,13.982,34.7694,34.7772,7.19E-02,98.4983,5.09E-02,27.582,10.891
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,149.995,13.8382,13.839,34.754,34.762,7.16E-02,98.5025,4.82E-02,26.491,10.429
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,151.002,13.8115,13.8117,34.7507,34.7589,7.32E-02,98.522,4.56E-02,25.895,10.189
SKQ201617S,sta001,12/24/2016,15:37,-109.34742,22.6666,2960,152.009,13.779,13.781,34.7397,34.7488,7.26E-02,98.4994,4.30E-02,24.624,9.682
