long,lat,depth,press,SA,CT,sigma0
-109.34734,22.66662,287.000446,289.014,34.83337478,10.93076163,26.53279744
-109.34734,22.66662,288.0007219,290.022,34.82981747,10.88225194,26.53875905
-109.34734,22.66662,289.0000007,291.029,34.83163616,10.87714992,26.54107663
-109.34734,22.66662,290.0002669,292.037,34.83501238,10.88144803,26.54291148
-109.34734,22.66662,291.0005283,293.045,34.83281164,10.86729445,26.54374906
-109.34734,22.66662,291.9997925,294.052,34.82910359,10.82832083,26.5478593
-109.34734,22.66662,293.0000442,295.06,34.82991743,10.81505577,26.55085671
-109.34734,22.66662,294.000291,296.068,34.83193709,10.81678662,26.55210634
-109.34734,22.66662,295.0005329,297.076,34.8322485,10.81525811,26.55261961
-109.34734,22.66662,295.9997777,298.083,34.83507204,10.81777138,26.5543499
-109.34734,22.66662,297.0000099,299.091,34.83844828,10.81648121,26.55718594
-109.34734,22.66662,298.0002373,300.099,34.84102062,10.80822145,26.56064595
-109.34734,22.66662,299.0004598,301.107,34.84108082,10.79806586,26.56250476
-109.34734,22.66662,299.9996852,302.114,34.84279902,10.78613122,26.56595943
-109.34734,22.66662,300.999898,303.122,34.84376392,10.76592897,26.57030405
-109.34734,22.66662,302.0001059,304.13,34.8430732,10.73752727,26.57482484
-109.34733,22.66662,303.000309,305.138,34.83976983,10.7002466,26.57889604
-109.34732,22.66662,304.0005072,306.146,34.8383757,10.67320688,26.58261323
-109.34732,22.66662,305.0007006,307.154,34.835625,10.66081315,26.58268393
-109.34732,22.66662,305.9998969,308.161,34.82970896,10.62513181,26.58442479
-109.34732,22.66662,307.0000805,309.169,34.82474756,10.58603906,26.58749024
-109.34732,22.66662,308.0002593,310.177,34.82038906,10.56314997,26.58815472
-109.34732,22.66662,309.0004332,311.185,34.81572911,10.53627552,26.58928082
-109.34732,22.66662,310.0006023,312.193,34.81187305,10.51123157,26.5906989
-109.34732,22.66662,311.0007666,313.201,34.8056053,10.46627802,26.59373232
-109.34732,22.66664,311.9999333,314.208,34.80250287,10.40928949,26.60128922
-109.34732,22.66664,313.0000878,315.216,34.80146042,10.40165377,26.6018148
-109.34732,22.66664,314.0002375,316.224,34.80076968,10.39875093,26.60178689
-109.34732,22.66664,315.0003823,317.232,34.80118429,10.3978722,26.60226045
-109.34732,22.66664,316.0005222,318.24,34.79928771,10.38531412,26.6029822
-109.34732,22.66662,317.0006577,319.248,34.79633601,10.35202256,26.60649198
-109.34732,22.66662,317.9997958,320.255,34.79534379,10.33535665,26.6086198
-109.34732,22.66662,318.9999211,321.263,34.79480378,10.31948035,26.61095732
-109.34732,22.66662,320.0000417,322.271,34.79446473,10.31736953,26.61106131
-109.34732,22.66662,321.0001573,323.279,34.79467837,10.31684448,26.61131751
-109.34732,22.66662,322.0002682,324.287,34.79393738,10.31005201,26.61192239
-109.34732,22.66663,323.0003739,325.295,34.79133738,10.29237016,26.61297583
-109.34732,22.66664,324.0004748,326.303,34.78612471,10.25563206,26.61530012
-109.34732,22.66664,325.0005711,327.311,34.78342422,10.20368068,26.62217375
-109.34732,22.66664,326.0006624,328.319,34.78288419,10.18935252,26.62422289
-109.34732,22.66664,327.000749,329.327,34.78334905,10.18433392,26.62544591
-109.34732,22.66664,327.9998385,330.334,34.78587387,10.1852623,26.62723883
-109.34732,22.66664,328.9999154,331.342,34.78593677,10.17321778,26.62935905
-109.34732,22.66664,329.9999873,332.35,34.78720553,10.16459241,26.63182292
-109.34732,22.66664,331.0000545,333.358,34.78661526,10.16054205,26.63206235
-109.34732,22.66662,332.0001172,334.366,34.7828094,10.1410893,26.63245867
-109.34732,22.66662,333.0001746,335.374,34.77955621,10.10780865,26.63564722
-109.34732,22.66664,334.0002267,336.382,34.77871473,10.10082043,26.63619271
-109.34732,22.66664,335.0002744,337.39,34.77842592,10.09786223,26.6364756
-109.34732,22.66664,336.0003173,338.398,34.777082,10.07941093,26.63859192
-109.34732,22.66664,337.0003553,339.406,34.77644148,10.05800356,26.64175359
-109.34732,22.66664,338.0003885,340.414,34.77665511,10.05164428,26.64300439
-109.34732,22.66664,339.0004168,341.422,34.77511021,10.04222583,26.64341596
-109.34732,22.66664,340.0004402,342.43,34.77230921,10.01642075,26.64564652
-109.34732,22.66664,341.0004588,343.438,34.77126674,9.993725172,26.64870202
-109.34732,22.66664,342.0004725,344.446,34.77012379,9.987242503,26.64891971
-109.34731,22.66664,343.0004814,345.454,34.76872961,9.974829077,26.64995006
-109.3473,22.66664,344.0004855,346.462,34.76803885,9.960207904,26.65189785
-109.3473,22.66664,345.0004847,347.47,34.76744857,9.939649594,26.65492764
-109.3473,22.66664,346.000479,348.478,34.76690854,9.929315511,26.65626064
-109.3473,22.66664,347.0004685,349.486,34.76687095,9.924658098,26.65702032
-109.3473,22.66664,348.0004531,350.494,34.76663238,9.92115168,26.65742936
-109.3473,22.66664,349.0004329,351.502,34.76634357,9.916249709,26.65803558
-109.3473,22.66664,350.0004078,352.51,34.76510012,9.903684847,26.6591988
-109.3473,22.66664,351.0003779,353.518,34.76345542,9.875716177,26.66265146
-109.3473,22.66664,352.0003431,354.526,34.76211285,9.843203659,26.66709546
-109.3473,22.66664,353.0003035,355.534,34.76177516,9.82039839,26.6706737
-109.3473,22.66664,354.000259,356.542,34.76118626,9.804530639,26.67288615
-109.3473,22.66664,355.0002097,357.55,34.76074808,9.793647649,26.6743755
-109.3473,22.66664,356.0001555,358.558,34.76041039,9.788797566,26.67492856
-109.3473,22.66664,357.0000965,359.566,34.75901757,9.76721,26.67747252
-109.3473,22.66664,358.0000326,360.574,34.75883061,9.748692404,26.68043129
